DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOCALIZACAO
Parque Carlos de Faria Tavares;NATURAL;AVENIDA;PERIMETRAL;     ;Distrito Industrial do Jatobá;     
ParqueEscola Jardim Belmonte;NATURAL;RUA;JORNALISTA ABRAHAO SADI;     ;Belmonte;     
ParqueEscola Jardim Belmonte;NATURAL;RUA;ANIS;     ;Belmonte;     
CEVAE Taquaril;NATURAL;RUA;DOIS MIL DUZENTOS E QUARENTA E SETE;     ;Granja de Freitas;     
Parque Orlando de Carvalho Silveira;NATURAL;RUA;JURUA;     ;Silveira;     
Parque Municipal Ismael de Oliveira Fábregas;NATURAL;PRACA;ISMAEL DE OLIVEIRA FABREGAS;     ;Silveira;     
Parque José Dazinho Pimenta;NATURAL;RUA;JOSE AVELINO DA SILVA;     ;Cenáculo;     
Parque Altamira Costa Nogueira;NATURAL;RUA;COPERNICO PINTO COELHO;     ;Estrela;     
Parque Jacques Cousteau;NATURAL;RUA;AUGUSTO JOSE DOS SANTOS;     ;Estrela do Oriente;     
Parque Linear Avenida José Cândido da Silveira;NATURAL;AVENIDA;JOSE CANDIDO DA SILVEIRA;     ;Horto Florestal;     
Parque José Lopes dos Reis;NATURAL;RUA;ALBANIA;     ;Laranjeiras;     
Parque Ecológico e Cultural Jardim das Nascentes;NATURAL;RUA;DAS TOURADAS;     ;Madri;     
Parque da Vila Santa Sofia;NATURAL;RUA;ALICE;     ;Santa Sofia;     
Parque Jardim Montanhês;NATURAL;RUA;FLOR DA VERDADE;     ;Vila Jardim Montanhês;     
Parque Professor Guilherme Lage;NATURAL;RUA;PADRE JOSE ALVES;     ;Vila São Paulo;     
Velório Municipal Vicente Rodrigues de Paula;NATURAL;RUA;VICENTE DE AZEVEDO;     ;Barreiro;     
Parque Ecológico Roberto Burle Marx;NATURAL;AVENIDA;XIMANGO;     ;Serra do Curral;     
Parque Ecológico Roberto Burle Marx;NATURAL;RUA;JOSE DO MONTE;     ;Serra do Curral;     
Parque Ecológico Francisco Lins do Rego;NATURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Lagoa da Pampulha;     
Parque Ecológico Francisco Lins do Rego;NATURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Lagoa da Pampulha;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;     ;     ;     ;     ;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;     ;     ;     ;     ;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;     ;     ;     ;     ;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;     ;     ;     ;     ;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;     ;     ;     ;     ;     
